ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	Release
5401441000033115	16528011000001108	Nicorette combi 15mg transdermal patches + 2mg medicated gum (McNeil Products Ltd)	Nicorette combi 15mg transdermal patches + 2mg medicated gum			Not applicable			
4213341000033116	11811611000001101	Nicopatch 7mg/24hours transdermal patches (Pierre Fabre Ltd)	Nicopatch 7mg/24hours transdermal patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal		
1745741000033113	323291005	Nicotine 7mg/24hours transdermal patches	Nicotine 7mg/24hours transdermal patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
2724441000033116	3213011000001108	Boots NRT 7mg/24hours patches (The Boots Company Plc)	Boots NRT 7mg/24hours patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal		
1745441000033118	3214111000001106	NiQuitin 7mg patches (Omega Pharma Ltd)	NiQuitin 7mg patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
973141000033117	3216011000001100	Nicotinell TTS 10 patches (GlaxoSmithKline Consumer Healthcare)	Nicotinell TTS 10 patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
2729241000033116	3215211000001104	NiQuitin Clear 7mg patches (Omega Pharma Ltd)	NiQuitin Clear 7mg patches	Nicotine	7.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
8232641000033114	21520411000001104	NiQuitin Pre-Quit Clear 21mg patches (Omega Pharma Ltd)	NiQuitin Pre-Quit Clear 21mg patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal		
973341000033119	662311000001108	Nicotinell TTS 30 patches (GlaxoSmithKline Consumer Healthcare)	Nicotinell TTS 30 patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
2724241000033117	714711000001106	Boots Nicotine 21mg/24hours patches (The Boots Company Plc)	Boots Nicotine 21mg/24hours patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal		
1745341000033112	330811000001104	NiQuitin 21mg patches (Omega Pharma Ltd)	NiQuitin 21mg patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
2729441000033115	88711000001104	NiQuitin Clear 21mg patches (Omega Pharma Ltd)	NiQuitin Clear 21mg patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
1745641000033116	323293008	Nicotine 21mg/24hours transdermal patches	Nicotine 21mg/24hours transdermal patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal	4100200	4100200
4213541000033111	11812011000001100	Nicopatch 21mg/24hours transdermal patches (Pierre Fabre Ltd)	Nicopatch 21mg/24hours transdermal patches	Nicotine	21.000mg/24.000hour	Transdermal patch	Transdermal		
1746041000033118	323298004	Nicotine 5mg/16hours transdermal patches	Nicotine 5mg/16hours transdermal patches	Nicotine	5.000mg/16.000hour	Transdermal patch	Transdermal	4100200	4100200
978041000033110	3217711000001100	Nicorette 5mg patches (McNeil Products Ltd)	Nicorette 5mg patches	Nicotine	5.000mg/16.000hour	Transdermal patch	Transdermal	4100200	4100200
4270541000033111	10143711000001104	Boots NicAssist 5mg patches (The Boots Company Plc)	Boots NicAssist 5mg patches	Nicotine	5.000mg/16.000hour	Transdermal patch	Transdermal	4100200	4100200
972641000033119	457011000001103	Nicorette 500micrograms/dose nasal spray (McNeil Products Ltd)	Nicorette 500micrograms/dose nasal spray	Nicotine	500.000microgram/1.000actuation	Spray	Nasal	4100200	4100200
2587141000033110	323319009	Nicotine 500micrograms/dose nasal spray	Nicotine 500micrograms/dose nasal spray	Nicotine	500.000microgram/1.000actuation	Spray	Nasal	4100200	4100200
5073041000033111	3501611000001105	Nicotine 10mg inhalation cartridges with device	Nicotine 10mg inhalation cartridges with device	Nicotine	10.000mg	Inhalation vapour	Oromucosal	4100200	4100200
5073141000033110	3208111000001103	Nicorette 10mg Inhalator (McNeil Products Ltd)	Nicorette 10mg Inhalator	Nicotine	10.000mg	Inhalation vapour	Oromucosal	4100200	4100200
8056141000033112	21145711000001106	Nicorette Cools 2mg lozenges (McNeil Products Ltd)	Nicorette Cools 2mg lozenges	Nicotine	2.000mg	Lozenge	Oromucosal		
12634441000033114	35721211000001108	Nicorette Fruit 2mg lozenges (McNeil Products Ltd)	Nicorette Fruit 2mg lozenges	Nicotine	2.000mg	Lozenge	Oromucosal		
2653941000033119	3505611000001108	Nicotine 2mg lozenges sugar free	Nicotine 2mg lozenges sugar free	Nicotine	2.000mg	Lozenge	Oromucosal	4100200	4100200
4575341000033119	2834711000001104	NiQuitin 2mg lozenges original menthol mint (Omega Pharma Ltd)	NiQuitin 2mg lozenges original menthol mint	Nicotine	2.000mg	Lozenge	Oromucosal	4100200	4100200
2975141000033119	4990511000001109	NiQuitin Mint 2mg lozenges (Omega Pharma Ltd)	NiQuitin Mint 2mg lozenges	Nicotine	2.000mg	Lozenge	Oromucosal	4100200	4100200
8056241000033117	21146211000001105	Nicorette Cools 4mg lozenges (McNeil Products Ltd)	Nicorette Cools 4mg lozenges	Nicotine	4.000mg	Lozenge	Oromucosal		
4913541000033110	2834111000001100	NiQuitin 4mg lozenges original menthol mint (Omega Pharma Ltd)	NiQuitin 4mg lozenges original menthol mint	Nicotine	4.000mg	Lozenge	Oromucosal	4100200	4100200
2654041000033117	3506011000001105	Nicotine 4mg lozenges sugar free	Nicotine 4mg lozenges sugar free	Nicotine	4.000mg	Lozenge	Oromucosal	4100200	4100200
2975441000033110	4990811000001107	NiQuitin Mint 4mg lozenges (Omega Pharma Ltd)	NiQuitin Mint 4mg lozenges	Nicotine	4.000mg	Lozenge	Oromucosal	4100200	4100200
4816941000033118	14752711000001102	NiQuitin Pre-Quit Mint 4mg lozenges (Omega Pharma Ltd)	NiQuitin Pre-Quit Mint 4mg lozenges	Nicotine	4.000mg	Lozenge	Oromucosal		
5265541000033117	16237311000001103	NiQuitin Minis Mint 4mg lozenges (Omega Pharma Ltd)	NiQuitin Minis Mint 4mg lozenges	Nicotine	4.000mg	Lozenge	Oromucosal	4100200	4100200
9693741000033118	26351211000001107	Nicotinell Support Icemint 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare)	Nicotinell Support Icemint 2mg medicated chewing gum	Nicotine	2.000mg	Medicated chewing-gum	Oromucosal		
