MedCodeId	Term	Smoking status	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId
461114016	[V]Tobacco abuse counselling	Current	ZV6D8	ZV6D800	711028002	3047058010
460828018	[V]Tobacco use	Current	ZV4K0	ZV4K000	110483000	175325014
397671000006112	[X]Mental & behav dis due to use tobacco: acute intoxication	Current	Eu170	Eu17000	30310000	50736017
397681000006110	[X]Mental & behav dis due to use tobacco: psychotic disorder	Current	Eu175	Eu17500	30310000	50736017
397911000006114	[X]Mental and behav dis due to use of tobacco: harmful use	Current	Eu171	Eu17100	724697004	3445165019
397981000006119	[X]Mental and behav dis due to use tobacco: dependence syndr	Current	Eu172	Eu17200	30310000	50736017
295951010	[X]Mental and behavioural disorder due to use of tobacco	Current	Eu17	Eu17.00	30310000	50736017
344794017	Cigar consumption	Current	137Y	137Y.00	230057008	344794017
99639019	Cigar smoker	Current	137J	137J.00	59978006	99639019
344793011	Cigarette consumption	Current	137X	137X.00	230056004	344793011
1780396011	Cigarette pack-years	Current	137g	137g.00	401201003	1780396011
108938018	Cigarette smoker	Current	137P	137P.00	65568007	108938018
854021000006115	Cigarette smoker	Current	EGTON321		8.54021E+14	8.54021E+14
503483019	Current smoker	Current	137R	137R.00	77176002	503483019
854071000006119	Current smoker	Current	EGTON326		8.54071E+14	8.54071E+14
1152111000000118	Current smoker annual review	Current	9ko-1	9ko..11	5.05651E+14	1.15211E+15
1714541000006110	Current smoker annual review - enhanced services admin	Current	9ko	9ko..00	5.05651E+14	1.15211E+15
62881000000117	DNA - Did not attend smoking cessation clinic	Current	9N4M	9N4M.00	2.5261E+13	6.2881E+13
1672841000006118	Fagerstrom test for nicotine dependence	Current	EMISNQFA10		1.67284E+15	1.67284E+15
408878014	Fagerstrom test for nicotine dependence	Current	38DH	38DH.00	762991003	3637499017
1592611000000110	Failed attempt to stop smoking	Current	137m	137m.00	446172000	2882460017
818061000006111	Health ed. - smoking	Current	6791	6791.00	225323000	2575784012
923611000006113	Health ed. - smoking	Current	PC0076		9.23611E+14	9.23611E+14
819331000006110	Heavy smoker - 20-39 cigs/day	Current	1375	1375.00	160605003	250360018
936011000006114	Lifestyle advice regarding smoking	Current	67H1	67H1.00	225324006	338609015
743331000006116	Light smoker - 1-9 cigs/day	Current	1373	1373.00	160603005	250358015
2474719011	Minutes from waking to first tobacco consumption	Current	137h	137h.00	413173009	2474719011
700121000006118	Moderate smoker - 10-19 cigs/d	Current	1374	1374.00	160604004	250359011
1488578010	Not interested in stopping smoking	Current	137d	137d.00	394873005	1488578010
903981000006117	Not interested in stopping smoking	Current	EMISQNO1		9.03981E+14	9.03981E+14
397733018	Occasional smoker	Current	1372-1	1372.11	4.28041E+14	2.71716E+15
136515019	Pipe smoker	Current	137H	137H.00	82302008	136515019
344795016	Pipe tobacco consumption	Current	137a	137a.00	230058003	344795016
