medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	databasebuild	Group	Broad
111297	68	0	0	0	9TC5.00	Hungarian Roma	Sep-16	White EastEU	White
112662	4	0	0	0	9TC4.00	Slovak roma	Apr-18	Whit Other 	White
111609	61	0	0	0	9TC3.00	Romanian roma	Jan-17	White EastEU	White
111704	61	0	0	0	9TC2.00	Polish roma	Mar-17	White EastEU	White
112719	2	0	0	0	9TC1.00	Czech Roma	May-18	White EastEU	White
111792	8	0	0	0	9TC0.00	Bulgarian Roma	Apr-17	White EastEU	White
111822	5	0	0	0	9TC..00	Roma ethnic group	May-17	White EastEU	White
101162	2050	0	0	0	9T9..00	Nepali	Dec-10	Asian Indian SC	Asian
101219	769	0	0	0	9T8..00	Portuguese	Dec-10	White EU	White
101787	570	0	0	0	9T7..00	Slovak	Feb-11	White EastEU	White
100143	539	0	0	0	9T6..00	Czech	Jul-10	White EastEU	White
99788	1061	0	0	0	9T5..00	Bulgarian	Jun-10	White EastEU	White
99808	3512	0	0	0	9T4..00	Romanian	Jun-10	White EastEU	White
94487	72	0	0	0	9T3..00	Yemeni	Feb-09	Arab	Other
111806	27	0	0	0	9t2J.00	Other ethnic grp: any other ethnic grp- Scotland 2011 census	May-17	Other unspecified	Other
112245	5	0	0	0	9t2H.00	Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011	Oct-17	Arab	Other
112216	3	0	0	0	9t2G.00	Carib/Black: any other Black/Caribbean grp - Scotland 2011	Sep-17	Black Other	Black
112649	3	0	0	0	9t2F.00	Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens	Apr-18	Black British	Black
110655	9	0	0	0	9t2D.00	African: any other African - Scotland ethnic cat 2011 census	Mar-16	Black African	Black
111059	12	0	0	0	9t2C.00	African: African/African Scot/African Brit - Scotland 2011	Jul-16	Black African	Black
110855	9	0	0	0	9t2B.00	Asian: other Asian group - Scotland ethnic cat 2011 census	Jun-16	Asian Other	Asian
111064	3	0	0	0	9t2A.00	Asian: Chinese - Scotland ethnic category 2011 census	Jul-16	Asian Chinese	Asian
112225	3	0	0	0	9t29.00	"Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011"	Oct-17	Asian Indian SC	Asian
111368	15	0	0	0	9t28.00	"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census"	Oct-16	Asian Indian SC	Asian
110460	14	0	0	0	9t27.00	Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011	Jan-16	Asian Indian SC	Asian
110696	15	0	0	0	9t26.00	Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census	Mar-16	Mixed Other	Mixed
110695	12	0	0	0	9t25.00	White: other White ethnic grp- Scotland ethnic cat 2011 cens	Mar-16	White Other	White
110465	189	0	0	0	9t24.00	White: Polish - Scotland ethnic category 2011 census	Jan-16	White EastEU	White
113253	2	0	0	0	9t23.00	White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens	Feb-19	White Irish	White
110687	4	0	0	0	9t22.00	White: Irish - Scotland ethnic category 2011 census	Mar-16	White Irish	White
110694	38	0	0	0	9t21.00	White: other British - Scotland ethnic category 2011 census	Mar-16	White British	White
110432	8512	0	0	0	9t20.00	White: Scottish - Scotland ethnic category 2011 census	Jan-16	White British	White
32781	643	0	0	0	9T2..00	Traveller - gypsy	Feb-09	White Traveller	White
110962	7	0	0	0	9t2..00	Ethnic category - 2011 census Scotland	Jun-16	Remove	Remove
71425	44	0	0	0	9T1Z.00	New Zealand ethnic group NOS	Feb-09	Pacific	Other
96789	12	0	0	0	9T1Y.00	Other New Zealand ethnic group	Apr-09	Pacific	Other
110646	25	0	0	0	9t1F.00	Other ethnic group: any other grp- NI ethnic cat 2011 census	Mar-16	Other unspecified	Other
32396	280	0	0	0	9T1E.00	Other Asian	Feb-09	Asian Other	Asian
110780	6	0	0	0	9t1E.00	Other ethnic group: Arab - NI ethnic category 2011 census	May-16	Arab	Other
25920	2211	0	0	0	9T1D.00	Indian	Feb-09	Asian Indian SC	Asian
111880	6	0	0	0	9t1D.00	Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census	Jun-17	Black Other	Black
12718	1365	0	0	0	9T1C.00	Chinese	Feb-09	Asian Chinese	Asian
110779	2	0	0	0	9t1C.00	Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens	May-16	Black Caribbean	Black
46649	378	0	0	0	9T1B.00	South East Asian	Feb-09	Asian SE	Asian
110630	14	0	0	0	9t1B.00	Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census	Mar-16	Black African	Black
46752	26	0	0	0	9T1A.00	Other Pacific ethnic group	Feb-09	Pacific	Other
110425	26	0	0	0	9t1A.00	Asian/Asian British: other Asian - NI ethnic cat 2011 census	Jan-16	Asian Other	Asian
64609	86	0	0	0	9T19.00	Fijian	Feb-09	Pacific	Other
112363	2	0	0	0	9t19.00	Asian/Asian British: Chinese - NI ethnic cat 2011 census	Dec-17	Asian Chinese	Asian
25434	1	0	0	0	9T18.00	Tokelauan	Feb-09	Pacific	Other
