prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
42221	1.3153E+16	21	75028020	Nicotine 4mg lozenges sugar free (Teva UK Ltd)	Nicotine	4mg	Lozenge	Oromucosal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	40299
41765	3.05341E+15	1942	97790020	Nicotinell Mint 2mg medicated chewing gum (GlaxoSmithKline Consumer Healthcare)	Nicotine	2mg	Medicated chewing-gum	Oromucosal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	40238
5502	3.65663E+16	88362	57041020	Nicotine 15mg/16hours transdermal patches	Nicotine	15mg/16hour	Transdermal patch	Transdermal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39845
39123	1.49844E+16	23407	96223020	Nicotine 25mg/16hours transdermal patches	Nicotine	25mg/16hour	Transdermal patch	Transdermal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39904
40683	3.21601E+15	4750	97298020	Nicotinell TTS 10 patches (GlaxoSmithKline Consumer Healthcare)	Nicotine	7mg/24hour	Transdermal patch	Transdermal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	40118
33392	1.95675E+17	4	75013020	Nicotine 22mg/24 hr Transdermal patch	Nicotine	22mg/24 hr	Transdermal Patch	Transdermal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39845
58034	2.27872E+16	473	17385021	Nicotine 2.5mg orodispersible films sugar free	Nicotine	2.5mg	Orodispersible film	Oral	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	41609
38958	2.83531E+15	4071	96119020	Nicotinell 1mg lozenges (GlaxoSmithKline Consumer Healthcare)	Nicotine bitartrate	1mg	Lozenge	Oromucosal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39845
5606	7.0975E+16	49627	57051020	Nicotinell tts 20 sq cm Transdermal patch (Novartis Consumer Health UK Ltd)	Nicotine	14mg/24hour	Transdermal patch	Transdermal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39845
5784	3.50601E+15	20094	55624020	Nicotine 4mg lozenges sugar free	Nicotine	4mg	Lozenge	Oromucosal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	39845
42286	5.62321E+15	174	97684020	Nicotine bitartrate 2mg lozenges sugar free	Nicotine bitartrate	2mg	Lozenge	Oromucosal	4105100	Drugs Used In Substance Dependence - Nicotine Dependence	40299
