"medcodeid"	"term"	"originalreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"readcode"	"newcat"
"1063801000000119"	"seen in substance misuse clinic"	"9No5"	"494041000000102"	"1063801000000119"	""	"9No5.00"	"Drug misuse"
"106878015"	"alcohol detoxification"	"8BA8"	"64297001"	"106878015"	""	"8BA8.00"	"Alcohol misuse"
"110629012"	"chronic alcoholism"	"E231"	"66590003"	"110629012"	""	"E231.00"	"Alcohol misuse"
"1122111000000117"	"declined consent for notification of drug misuse"	"9NdN"	"505091000000102"	"1122111000000117"	""	"9NdN.00"	"Drug misuse"
"1153451000000115"	"shared care drug misuse treatment"	"9k51-1"	"372511000000103"	"1153451000000115"	""	"9k51.11"	"Drug misuse"
"1216143019"	"drug misuse behaviour"	"1V"	"228366006"	"1216143019"	""	"1V...00"	"Drug misuse"
"1225183017"	"alcohol deterrent poisoning"	"SLH3"	"27134008"	"1225183017"	""	"SLH3.00"	"Alcohol misuse"
"1235465011"	"denatured alcohol causing toxic effect"	"SM001"	"89507002"	"1235465011"	""	"SM00100"	"Alcohol misuse"
"12878014"	"alcoholism"	"E23-1"	"66590003"	"110629012"	""	"E23..11"	"Alcohol misuse"
"138527014"	"alcoholic cardiomyopathy"	"G555"	"83521008"	"138527014"	""	"G555.00"	"Alcohol misuse"
"14103017"	"alcoholic polyneuropathy"	"F375"	"7916009"	"14104011"	""	"F375.00"	"Alcohol misuse"
"1484890014"	"referral to community alcohol team"	"8H7p"	"390857005"	"1484890014"	""	"8H7p.00"	"Alcohol misuse"
"15243013"	"alcohol withdrawal delirium"	"E010"	"8635005"	"15243013"	""	"E010.00"	"Alcohol misuse"
"15244019"	"delirium tremens"	"E010-2"	"8635005"	"15244019"	""	"E010.12"	"Alcohol misuse"
"1538421000006115"	"hmp - substance use, frequency"	"PCSQH23"	"1538421000006104"	"1538421000006115"	""	""	"Drug misuse"
"1538431000006117"	"hmp - substance use, amount"	"PCSQH24"	"1538431000006101"	"1538431000006117"	""	""	"Drug misuse"
"1538441000006110"	"hmp - substance use, last used"	"PCSQH25"	"1538441000006106"	"1538441000006110"	""	""	"Drug misuse"
"1538451000006112"	"hmp - substance use, felt ill?"	"PCSQH26"	"1538451000006108"	"1538451000006112"	""	""	"Drug misuse"
"1538701000006115"	"inpatient detoxification"	"PCSQI54"	"1538701000006104"	"1538701000006115"	""	""	"Drug misuse"
"1538911000006119"	"structured alcohol intervention"	"PCSQI96"	"1538911000006103"	"1538911000006119"	""	""	"Alcohol misuse"
"1550291000000111"	"admission to substance misuse detoxification centre"	"8Hq"	"699124006"	"2982737011"	""	"8Hq..00"	"Drug misuse"
"1584851000006110"	"h/o major tranquilliser misuse"	"1TB"	"277001000000103"	"643811000000118"	""	"1TB..00"	"Drug misuse"
