MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release
253576010	O/E - obese	22A5-1	22A5.11	162690006	253576010	
2160062010	Body mass index 40+ - severely obese	22K7	22K7.00	408512008	2160062010	
857321000006113	Moderately obese	EGTONMO1		857321000006109	857321000006113	
857911000006118	Very obese	EGTONVE2		857911000006102	857911000006118	
280881000006115	O/E - obese	222A	222A.00	162690006	253576010	
264769013	Obesity monitoring NOS	66CZ	66CZ.00	268522006	401534016	
285743019	Obesity monitoring default	9OK3	9OK3.00	185743004	285743019	
285750015	Obesity monitoring check done	9OKA	9OKA.00	185750000	285750015	
401534016	Obesity monitoring	66C	66C..00	268522006	401534016	
293650011	Obesity and other hyperalimentation NOS	C38z	C38z.00	302872003	444857015	
293631011	Obesity and other hyperalimentation	C38	C38..00	302872003	444857015	
2535065012	Obesity	C380	C380.00	414916001	2535065012	
16131000000113	Obesity monitoring admin.NOS	9OKZ	9OKZ.00	713951000000106	1565191000000115	
2537960015	Obesity due to excess calories	C3800	C380000	415530009	2537960015	
21621000000119	Obesity monitoring admin.	9OK	9OK..00	713951000000106	1565191000000115	
26111000000114	Obesity clinic administration	9OK-1	9OK..11	713971000000102	1565211000000116	
270281000006113	Obesity monitor phone invite	9OK8	9OK8.00	185748008	285748011	
270301000006112	Obesity monitoring 1st letter	9OK4	9OK4.00	185744005	285744013	
270311000006110	Obesity monitoring 2nd letter	9OK5	9OK5.00	185745006	285745014	
270321000006119	Obesity monitoring 3rd letter	9OK6	9OK6.00	185746007	285746010	
270381000006115	Obesity monitoring verbal inv.	9OK7	9OK7.00	185747003	285747018	
1803041000000114	Obesity hypoventilation syndrome	C38y0-1	C38y011	190966007	1803041000000114	
1900331000006113	Obese class III (BMI equal to or greater than 40.0)	22KE	22KE.00	914741000000103	2350281000000112	
2310101000000115	Obesity multidisciplinary case review	66CX	66CX.00	898011000000103	2310101000000115	
2350241000000116	Obese class I (body mass index 30.0 - 34.9)	22KC	22KC.00	914721000000105	2350241000000116	
2350261000000115	Obese class II (body mass index 35.0 - 39.9)	22KD	22KD.00	914731000000107	2350261000000115	
253848011	Body mass index 30+ - obesity	22K5	22K5.00	162864005	253848011	
1991711000006112	Reason for influenza vaccine - BMI 40+	EMISNQRE596		1991711000006108	1991711000006112
264756014	Has seen dietician - obesity	66C4	66C4.00	170797005	264756014	
264757017	Treatment of obesity changed	66C5	66C5.00	170798000	264757017	
264768017	Reason for obesity therapy - occupational	66CE	66CE.00	170807005	264768017	
264753018	Follow-up obesity assessment	66C2	66C2.00	170795002	264753018	
293634015	Drug-induced obesity	C3801	C380100	190965006	293634015	
293635019	Extreme obesity with alveolar hypoventilation	C3802	C380200	190966007	293635019	
251604013	H/O: obesity	1444	1444.00	161453001	251604013	
264752011	Initial obesity assessment	66C1	66C1.00	170794003	264752011	
285741017	Attends obesity monitoring	9OK1	9OK1.00	185741002	285741017	
356966014	Generalised obesity	C3805	C380500	238134004	356966014	
356968010	Morbid obesity	C3803	C380300	238136002	356968010	
434770018	Lifelong obesity	C3807	C380700	294493008	434770018	
370698013	Central obesity	C3804	C380400	248311001	370698013	
436946011	Adult-onset obesity	C3806	C380600	296526005	436946011	
2535065012	Obesity	C380	C380.00	414916001	2535065012	
907161000006115	[RFC] Obesity	HNG0212		907161000006104	907161000006115	
1572931000006113	Refuses obesity monitoring	EMISNQRE67		1572931000006109	1572931000006113	
1749491000006112	Adult-onset obesity	EMISNQAD28		1749491000006108	1749491000006112	
1749501000006116	Lifelong obesity	EMISNQLI32		1749501000006100	1749501000006116	
2303211000000117	Referral to multidisciplinary obesity clinic	8T11	8T11.00	894961000000105	2303211000000117	
2350501000000116	Anti-obesity drug therapy commenced	8CV7	8CV7.00	914801000000107	2350501000000116	
2350541000000118	Anti-obesity drug therapy discontinued	8CT5	8CT5.00	914821000000103	2350541000000118	
2310101000000115	Obesity multidisciplinary case review	66CX	66CX.00	898011000000103	2310101000000115	
74689019	Maternal obesity syndrome	L161-2	L161.12	44772007	494017018	
2423851000000119	Telehealth obesity monitoring	66Ce	66Ce.00	715279006	3302073018	
293802014	[X]Obesity and other hyperalimentation	Cyu7	Cyu7.00	414916001	2535065012	
293803016	[X]Other obesity	Cyu70	Cyu7000	414916001	2535065012	
451432013	Simple obesity NOS	C38z0	C38z000	415530009	2535221011	
285742012	Refuses obesity monitoring	9OK2	9OK2.00	763085007	3637819012	
1227771010	[V]Dietary counselling in obesity	ZV653-9	ZV65319	424753004	2645393015	
293650011	Obesity and other hyperalimentation NOS	C38z	C38z.00	302872003	444857015	
293631011	Obesity and other hyperalimentation	C38	C38..00	302872003	444857015	
264758010	Treatment of obesity started	66C6	66C6.00	170799008	264758010	
881831000006116	Hyperalimentation incl.obesity	C38-99	C38..99	640791000000105	881831000006116	
1753291000006113	Risk to health associated with overweight and obesity, at high risk	66CN	66CN.00	755921000000105	1663311000000118
1753281000006110	Risk to health associated with overweight and obesity, at increased risk	66CM	66CM.00	755901000000101	1663271000000118	
1753301000006114	Risk to health associated with overweight and obesity, at very high risk	66CP	66CP.00	755941000000103	1663351000000119	
1753341000006111	Intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs, consider surgery	66CT	66CT.00	756061000000106	1663601000000111
2010161000006112	Weight reduction drug therapy - orlistat	EMISNQWE48		2010161000006108	2010161000006112		
