	MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Group	Broad
257	250222012	European origin	1341	1341	160513005	250222012	White EU	White
252	250223019	African origin	1342	1342	160514004	250223019	Black African	Black
250	250224013	Asian origin	1343	1343	160515003	250224013	Asian Other	Asian
253	250225014	North American origin	1344	1344	160516002	250225014	White Other	White
251	250226010	South American origin	1345	1345	160517006	250226010	White SA	White
254	250227018	Australian origin	1346	1346	160518001	250227018	Pacific	Other
258	250228011	Indian origin	1347	1347	160519009	250228011	Asian Indian SC	Asian
278	250229015	Middle Eastern origin	1348	1348	160520003	250229015	Arab	Other
256	250230013	Far Eastern origin	1349	1349	160521004	250230013	Asian Other	Asian
282	253629014	O/E - Europeanoid	2261	2261	162731001	253629014	White Other	White
283	253630016	O/E - Negroid	2262	2262	162732008	253630016	Black Other	Black
284	402434017	O/E - Mongoloid origin	2263	2263	268914005	402434017	Asian Other	Asian
285	412016016	O/E - Asian origin	2263-1	2263.11	276029002	412016016	Asian Other	Asian
280	253634013	O/E - Australoid	2264	2264	162734009	253634013	Pacific	Other
259	412260010	Country of origin	134	134..00	276205001	412260010	Remove	Remove
261	459868012	Born in - country	134-1	134..11	315354004	459868012	Remove	Remove
255	250231012	West Indian origin	134A	134A.00	160522006	250231012	Black Caribbean	Black
273	196641000006110	RACE: Caucasian	134B	134B.00	413773004	2537215011	White Other	White
268	196621000006115	RACE: Arab	134C	134C.00	90027003	149237014	Arab	Other
266	196651000006112	RACE: Chinese	134D	134D.00	33897005	56590016	Asian Chinese	Asian
272	196661000006114	RACE: Japanese	134E	134E.00	414551003	2533843011	Asian Other	Asian
267	196671000006119	RACE: Korean	134F	134F.00	38361009	63432018	Asian Other	Asian
274	196701000006118	RACE: Oriental	134G	134G.00	414978006	2533849010	Asian Other	Asian
271	196601000006113	RACE: Afro-caribbean	134H	134H.00	413465009	2533840014	Black Other	Black
265	196631000006117	RACE: Bangladeshi	134I	134I.00	186003008	285956019	Asian Indian SC	Asian
269	196681000006116	RACE: Mixed	134J	134J.00	414752008	2533847012	Mixed Other	Mixed
277	250243013	Race: West indian	134K	134K.00	160531006	250243013	Black Caribbean	Black
264	196611000006111	RACE: Afro-caucasian	134L	134L.00	413466005	2533841013	Mixed White/Black	Mixed
275	196721000006111	RACE: Pakistani	134M	134M.00	186002003	285955015	Asian Indian SC	Asian
260	2537217015	Race: White	134N	134N.00	413773004	2537217015	White Other	White
270	196731000006114	RACE: Unknown	134O	134O.00	415794004	2533839012	Other unspecified	Other
276	196691000006118	RACE: Not stated	134P	134P.00	415226007	2533846015	Not recorded	Not recorded
263	371005013	Race: Other	134P-1	134P.11	103579009	265558016	Other	Other
262	250253014	Country of origin NOS	134Z	134Z.00	276205001	412260010	Remove	Remove
279	253627011	O/E - ethnic group	226	226..00	162730000	253627011	Remove	Remove
281	253628018	O/E - ethnic origin	226-1	226..11	162730000	253628018	Remove	Remove
286	253635014	O/E - ethnic group NOS	226Z	226Z.00	162730000	253627011	Other unspecified	Other
175	141291000000111	Ethnic category - 2001 census	9i	9i...00	9.2381E+13	1.41291E+14	Remove	Remove
