medcode	clinicalevents	referralevents	testevents	immunisationevents	readcode	readterm	Smoking status
34127	36196	31	0	0	13p1.00	Smoking status at 4 weeks	Quitting
34374	5836	6	0	0	13p2.00	Smoking status between 4 and 52 weeks	Quitting
41405	1040	0	0	0	13p3.00	Smoking status at 52 weeks	Quitting
10898	12275	0	23	0	13p4.00	Smoking free weeks	Quitting
103208	68	0	0	0	13p7.00	Smoking status at 12 weeks	Quitting
12958	112226	12	0	0	1372.00	Trivial smoker - < 1 cig/day	Current
12941	160239	6	0	0	1372.11	Occasional smoker	Current
12944	548706	45	3	0	1373.00	Light smoker - 1-9 cigs/day	Current
1878	818526	120	12	0	1374.00	Moderate smoker - 10-19 cigs/d	Current
3568	418854	187	8	0	1375.00	Heavy smoker - 20-39 cigs/day	Current
1822	40119	32	1	0	1376.00	Very heavy smoker - 40+cigs/d	Current
2111	3239195	2006	50	0	6791	Health ed. - smoking	Current
54	3026471	80	435	0	137..00	Tobacco consumption	Current
12942	57764	35	0	0	137..11	Smoker - amount smoked	Current
12967	9634	0	2	0	137a.00	Pipe tobacco consumption	Current
31114	17879	22	0	0	137b.00	Ready to stop smoking	Quitting
12964	13187	11	0	0	137C.00	Keeps trying to stop smoking	Quitting
30423	20119	5	0	0	137c.00	Thinking about stopping smoking	Quitting
30762	30819	0	0	0	137d.00	Not interested in stopping smoking	Current
41979	1297	0	0	0	137e.00	Smoking restarted	Current
46321	237	0	0	0	137f.00	Reason for restarting smoking	Current
12240	222163	1455	1	0	137G.00	Trying to give up smoking	Quitting
46300	11040	0	0	0	137g.00	Cigarette pack-years	Current
12947	70413	4	0	0	137H.00	Pipe smoker	Current
62686	8069	0	0	0	137h.00	Minutes from waking to first tobacco consumption	Current
12943	73642	11	0	0	137J.00	Cigar smoker	Current
101338	2299	0	0	0	137m.00	Failed attempt to stop smoking	Current
12945	112603	6	1	0	137M.00	Rolls own cigarettes	Current
105501	69	0	0	0	137o.00	Waterpipe tobacco consumption	Current
93	7854772	1137	186	0	137P.00	Cigarette smoker	Current
1823	382813	635	4	0	137P.11	Smoker	Current
12952	9999	10	0	0	137Q.00	Smoking started	Current
12951	9272	2	0	0	137Q.11	Smoking restarted	Current
10558	1666168	427	33	0	137R.00	Current smoker	Current
12966	6153	1	0	0	137V.00	Smoking reduced	Current
12965	20363	1	0	0	137X.00	Cigarette consumption	Current
12963	6853	0	0	0	137Y.00	Cigar consumption	Current
12960	22753	0	0	0	137Z.00	Tobacco consumption NOS	Current
10211	145692	145	0	0	13p..00	Smoking cessation milestones	Quitting
34126	78588	50	0	0	13p0.00	Negotiated date for cessation of smoking	Quitting
38112	32652	3	0	0	13p5.00	Smoking cessation programme start date	Quitting
101764	4095	0	0	0	13p5000	Practice based smoking cessation programme start date	Quitting
102951	211	0	0	0	13p8.00	Lost to smoking cessation follow-up	Quitting
107292	3813	0	1	0	1PC..00	User of electronic cigarette	Quitting
97643	350	0	0	0	38DH.00	Fagerstrom test for nicotine dependence	Current
10184	3971	18	0	0	67A3.00	Pregnancy smoking advice	Current
18926	52598	8	0	0	67H1.00	Lifestyle advice regarding smoking	Current
98137	19162	5	0	0	67H6.00	Brief intervention for smoking cessation	Quitting
74907	96616	179	1312	0	745H.00	Smoking cessation therapy	Quitting
81440	13370	0	0	0	745H000	Nicotine replacement therapy using nicotine patches	Quitting
85975	1443	2	0	0	745H100	Nicotine replacement therapy using nicotine gum	Quitting
85247	3470	0	0	0	745H200	Nicotine replacement therapy using nicotine inhalator	Quitting
89464	1267	0	0	0	745H300	Nicotine replacement therapy using nicotine lozenges	Quitting
94958	12093	0	0	0	745H400	Smoking cessation drug therapy	Quitting
91708	2454	0	0	0	745Hy00	Other specified smoking cessation therapy	Quitting
