"medcode"	"readcode"	"readterm"	"newcat"
"100002"	"B062z00"	"malignant neoplasm of tonsillar fossa nos"	"Cancer"
"100006"	"B602200"	"burkitt's lymphoma of intrathoracic lymph nodes"	"Cancer"
"100015"	"8CRB.00"	"transient ischaemic attack clinical management plan"	"Cerebrovascular disease"
"100025"	"7A34F00"	"operation on aneurysm of suprarenal artery nec"	"Peripheral vascular disease"
"100033"	"U60231E"	"[x] adverse reaction to insulins and antidiabetic agents nos"	"Diabetes"
"100036"	"7A41D00"	"bypass iliac artery by iliac/iliac artery anastomosis nec"	"Peripheral vascular disease"
"100065"	"P61z.00"	"congenital tricuspid atresia or stenosis nos"	"Valvular disease"
"100073"	"7800112"	"piggy back liver transplant"	"Liver disease"
"100083"	"1925NB"	"neuroblastoma"	"Cancer"
"1001"	"H3...00"	"chronic obstructive pulmonary disease"	"COPD"
"100107"	"679J000"	"health education - asthma self management"	"Asthma"
"100111"	"BB46.00"	"[m]schneiderian carcinoma"	"Cancer"
"100113"	"7A47.12"	"other emergency bypass of common femoral artery"	"Peripheral vascular disease"
"100128"	"F124.00"	"vascular parkinsonism"	"Cerebrovascular disease"
"100139"	"14AT.00"	"history of myocardial infarction"	"Myocardial infarction"
"100144"	"B004300"	"malignant neoplasm of lip, oral aspect"	"Cancer"
"100183"	"B807300"	"carcinoma in situ of meckel's diverticulum"	"Cancer"
"100187"	"38DZ.00"	"disease activity score in rheumatoid arthritis"	"Rheumatic and collagen disease"
"100195"	"7A1B600"	"endovascular stenting for aortic aneurysm of bifurcation nec"	"Peripheral vascular disease"
"100205"	"K0E..00"	"acute-on-chronic renal failure"	"Renal disease"
"100232"	"B24y.00"	"malig neop of other site of heart, thymus and mediastinum"	"Cancer"
"100234"	"329B.00"	"ecg: trifascicular block"	"Cardiac arrythmia"
"100237"	"38Dg.00"	"chronic obstructive pulmonary disease assessment test"	"COPD"
"100253"	"J615C00"	"xanthomatous portal cirrhosis"	"Liver disease"
"100267"	"BBZG.11"	"[m]adamantinoma, malignant"	"Cancer"
"100291"	"P65z.00"	"congenital mitral stenosis nos"	"Valvular disease"
"100292"	"Cyu2300"	"[x]unspecified diabetes mellitus with renal complications"	"Renal disease"
"100292"	"Cyu2300"	"[x]unspecified diabetes mellitus with renal complications"	"Diabetes"
"100296"	"B582100"	"secondary malignant neoplasm of skin of face"	"Cancer"
"100347"	"C10A500"	"malnutritn-relat diabetes melitus wth periph circul complctn"	"Diabetes"
"100352"	"B601500"	"lymphosarcoma of lymph nodes of inguinal region and leg"	"Cancer"
"100397"	"38DT.00"	"asthma control questionnaire"	"Asthma"
"100405"	"141F.00"	"history of viral hepatitis"	"Liver disease"
"100422"	"8HgC.00"	"discharged from diabetes shared care programme"	"Diabetes"
"100423"	"B610100"	"hodgkin's paragranuloma of lymph nodes of head, face, neck"	"Cancer"
"10043"	"66YJ.00"	"asthma annual review"	"Asthma"
"100436"	"679L000"	"education in self management of diabetes"	"Diabetes"
"10047"	"P736.12"	"pulmonary arterio-venous malformation"	"Pulmonary circulation disorders"
"100474"	"J612.12"	"laennec's cirrhosis"	"Liver disease"
"100482"	"7911500"	"transapical aortic valve implantation"	"Valvular disease"
"100485"	"329D.00"	"ecg: left anterior fascicular block"	"Cardiac arrythmia"
"1005"	"G541212"	"aortic regurgitation alone, cause unspecified"	"Valvular disease"
