"medcode"	"readcode"	"readterm"	"newcat"
"100178"	"8Hq..00"	"admission to substance misuse detoxification centre"	"Drug misuse"
"100477"	"1V26.00"	"misused drugs in past"	"Drug misuse"
"100935"	"1V0E.00"	"health problem secondary to drug misuse"	"Drug misuse"
"101377"	"1TD1.00"	"h/o weekly opiate misuse"	"Drug misuse"
"101394"	"1V23.00"	"time since stopped drug misuse"	"Drug misuse"
"101724"	"1TB..00"	"h/o major tranquilliser misuse"	"Drug misuse"
"101892"	"1V22.00"	"age at starting drug misuse"	"Drug misuse"
"102247"	"8IAt.00"	"extended interven for excessive alcohol consumption declined"	"Alcohol misuse"
"103083"	"8IE7.00"	"substance misuse assessment declined"	"Drug misuse"
"103241"	"9k51.11"	"shared care drug misuse treatment"	"Drug misuse"
"103881"	"1TC0.00"	"h/o daily anti-depressant misuse"	"Drug misuse"
"10538"	"Eu11211"	"[x]drug addiction - opioids"	"Drug misuse"
"106143"	"1TC3.00"	"previous history of anti-depressant misuse"	"Drug misuse"
"106290"	"9NdN.00"	"declined consent for notification of drug misuse"	"Drug misuse"
"106342"	"1T12.00"	"h/o infrequent methadone misuse"	"Drug misuse"
"106365"	"8BAo.00"	"benzodiazepine dependence detoxification"	"Drug misuse"
"106802"	"9s...00"	"drug misuse clinic administration"	"Drug misuse"
"10691"	"J610.00"	"alcoholic fatty liver"	"Alcohol misuse"
"106999"	"1V2..00"	"frequency of drug misuse"	"Drug misuse"
"107355"	"9N1yJ00"	"seen in drug misuse clinic"	"Drug misuse"
"10903"	"E25y.12"	"laxative abuse"	"Drug misuse"
"109471"	"1T92.00"	"h/o infrequent solvent misuse"	"Drug misuse"
"11670"	"Eu10611"	"[x]korsakov's psychosis, alcohol induced"	"Alcohol misuse"
"11740"	"9k1..00"	"alcohol misuse - enhanced services administration"	"Drug misuse"
"11840"	"E242.00"	"cocaine type drug dependence"	"Drug misuse"
"12353"	"Eu10500"	"[x]mental & behav dis due to use alcohol: psychotic disorder"	"Alcohol misuse"
"12442"	"66e..00"	"alcohol disorder monitoring"	"Alcohol misuse"
"12554"	"8HHe.00"	"referral to community drug and alcohol team"	"Alcohol misuse"
"12628"	"E021000"	"drug-induced paranoid state"	"Drug misuse"
"12651"	"146F.00"	"h/o: drug abuse"	"Drug misuse"
"12856"	"8H7x.00"	"referral to drug abuse counsellor"	"Drug misuse"
"12974"	"E250200"	"nondependent alcohol abuse, episodic"	"Alcohol misuse"
"12977"	"1366.00"	"very heavy drinker - >9u/day"	"Alcohol misuse"
"12984"	"136Q.00"	"very heavy drinker"	"Alcohol misuse"
"1399"	"E23..12"	"alcohol problem drinking"	"Alcohol misuse"
"1476"	"E010.12"	"delirium tremens"	"Alcohol misuse"
"14809"	"E249.00"	"combined drug dependence, excluding opioids"	"Drug misuse"
"1588"	"E25z.00"	"misuse of drugs nos"	"Drug misuse"
"16161"	"E25y.00"	"nondependent other drug abuse"	"Drug misuse"
"16225"	"E010.00"	"alcohol withdrawal delirium"	"Alcohol misuse"
"16237"	"E01..00"	"alcoholic psychoses"	"Alcohol misuse"
"16243"	"E240.00"	"opioid type drug dependence"	"Drug misuse"
"17259"	"Eu10411"	"[x]delirium tremens, alcohol induced"	"Alcohol misuse"
"17330"	"J613000"	"alcoholic hepatic failure"	"Alcohol misuse"
"18156"	"13Y8.00"	"alcoholics anonymous"	"Alcohol misuse"
"18636"	"E011200"	"wernicke-korsakov syndrome"	"Alcohol misuse"
"19494"	"136S.00"	"hazardous alcohol use"	"Alcohol misuse"
"20026"	"E021100"	"drug-induced hallucinosis"	"Drug misuse"
"20514"	"Eu10300"	"[x]mental and behav dis due to use alcohol: withdrawal state"	"Alcohol misuse"
"20650"	"U200z00"	"[x]intent self poison nonopioid analgesic unspecif place"	"Drug misuse"
"20762"	"E011.00"	"alcohol amnestic syndrome"	"Alcohol misuse"
"2081"	"E23..11"	"alcoholism"	"Alcohol misuse"
"2082"	"E01y000"	"alcohol withdrawal syndrome"	"Alcohol misuse"
"2083"	"8BA8.00"	"alcohol detoxification"	"Alcohol misuse"
"2084"	"E23..00"	"alcohol dependence syndrome"	"Alcohol misuse"
"20962"	"E240200"	"episodic opioid dependence"	"Drug misuse"
"21087"	"E24A.00"	"ecstasy type drug dependence"	"Drug misuse"
"21096"	"ZV11400"	"[v]personal history of psychoactive substance abuse"	"Drug misuse"
"21624"	"E230200"	"episodic acute alcoholic intoxication in alcoholism"	"Alcohol misuse"
